id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
34,1,1,1,https://scrape.seran.c2.com,scrape.seran.c2.com,2,proxy.c2.com,192.241.203.176,1,1,443,404,Not Found,'404 page not found\n',,192.241.192.0/19,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
60,0,0,1,http://scrape.seran.c2.com,scrape.seran.c2.com,2,proxy.c2.com,192.241.203.176,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='dev.wiki.randombits.xyz', port=80): Max retries exceeded with url: /scrape.seran.c2.com/welcome-visitors (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff2723b6dc0>: Failed to establish a new connection: [Errno -2] Name does not resolve'))""),)",,,192.241.192.0/19,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
24,1,1,1,http://sensors.c2.com,sensors.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,Smallest Federated Wiki,Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SogouSearch
37,1,1,1,https://sensors.c2.com,sensors.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SogouSearch
31,1,1,1,http://sv1.c2.com,sv1.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
46,1,1,1,https://sv1.c2.com,sv1.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
4,1,1,1,http://wiki.c2.com,wiki.c2.com,1,"wardcunningham.github.io,wardcunningham.github.io,wardcunningham.github.io,wardcunningham.github.io","185.199.111.153,185.199.108.153,185.199.109.153,185.199.110.153","1,1,1,1",1,80,200,OK,'\n\n\n\n\n\n\n\n\n\nnotice\njavascript required to view this site\nwhy\nmeasured improvement in server performance\nawesome incremental search\n\n\n\n\nThis site uses features not available in older browsers.\n\n\n\n\n',"GitHub.com,1.1 varnish","185.199.111.0/24,185.199.108.0/24,185.199.109.0/24,185.199.110.0/24","AS54113,AS54113,AS54113,AS54113","Fastly,Fastly,Fastly,Fastly","美国华盛顿西雅图,美国华盛顿西雅图,美国华盛顿西雅图,美国华盛顿西雅图","未知,未知,未知,未知",MySSLQuery
11,1,1,1,https://wiki.c2.com,wiki.c2.com,1,"wardcunningham.github.io,wardcunningham.github.io,wardcunningham.github.io,wardcunningham.github.io","185.199.111.153,185.199.108.153,185.199.109.153,185.199.110.153","1,1,1,1",1,443,200,OK,'\n\n\n\n\n\n\n\n\n\nnotice\njavascript required to view this site\nwhy\nmeasured improvement in server performance\nawesome incremental search\n\n\n\n\nThis site uses features not available in older browsers.\n\n\n\n\n',"GitHub.com,1.1 varnish","185.199.111.0/24,185.199.108.0/24,185.199.109.0/24,185.199.110.0/24","AS54113,AS54113,AS54113,AS54113","Fastly,Fastly,Fastly,Fastly","美国华盛顿西雅图,美国华盛顿西雅图,美国华盛顿西雅图,美国华盛顿西雅图","未知,未知,未知,未知",MySSLQuery
50,1,1,1,http://www.0oza5kzk.c2.com,www.0oza5kzk.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,AlienVaultQuery
57,1,1,1,https://www.0oza5kzk.c2.com,www.0oza5kzk.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,AlienVaultQuery
6,1,1,1,http://www.555566.c2.com,www.555566.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
23,1,1,1,https://www.555566.c2.com,www.555566.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
5,1,1,1,http://www.7168.c2.com,www.7168.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
18,1,1,1,https://www.7168.c2.com,www.7168.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
3,1,1,1,http://www.c2.com,www.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
15,1,1,1,https://www.c2.com,www.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
2,1,1,1,http://xp.c2.com,xp.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,Mirror of ExtremeProgrammingRoadmap,Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,MySSLQuery
9,1,1,1,https://xp.c2.com,xp.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,MySSLQuery
38,1,1,1,http://z1.c2.com,z1.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
48,1,1,1,https://z1.c2.com,z1.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
42,1,1,1,http://z2.c2.com,z2.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
54,1,1,1,https://z2.c2.com,z2.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
